Date,Open,High,Low,Close,Volume
26-Feb-16,708.58,713.43,700.86,705.07,2239978
25-Feb-16,700.01,705.98,690.58,705.75,1631855
24-Feb-16,688.92,700,680.78,699.56,1958611
23-Feb-16,701.45,708.4,693.58,695.85,1999699
22-Feb-16,707.45,713.24,702.51,706.46,1946067
19-Feb-16,695.03,703.08,694.05,700.91,1582260
18-Feb-16,710,712.35,696.03,697.35,1859130
17-Feb-16,699,709.75,691.38,708.4,2466808
16-Feb-16,692.98,698,685.05,691,2497024
12-Feb-16,690.26,693.75,678.6,682.4,2129831
11-Feb-16,675,689.35,668.87,683.11,3007223
10-Feb-16,686.86,701.31,682.13,684.12,2627379
09-Feb-16,672.32,699.9,668.77,678.11,3604335
08-Feb-16,667.85,684.03,663.06,682.74,4212541
05-Feb-16,703.87,703.99,680.15,683.57,5069985
04-Feb-16,722.81,727,701.86,708.01,5145855
03-Feb-16,770.22,774.5,720.5,726.95,6162333
02-Feb-16,784.5,789.87,764.65,764.65,6332431
01-Feb-16,750.46,757.86,743.27,752,4801816
